,Time_col,Value,Total_Good_Reviews,Total_Bad_Reviews,AVG_Review_Score,AVG_Freight_Value,AVG_Delivery_Score,total_customer_orders
0,2016-09-04,136.23,0,1,1.0,31.67,,1
1,2016-09-05,75.06,0,1,1.0,15.56,,1
2,2016-09-13,40.95,0,1,1.0,,,1
3,2016-10-02,109.34,0,1,1.0,9.34,,1
4,2016-10-03,595.14,5,3,3.0,16.4575,1.0,8
5,2016-10-04,11914.65,45,18,3.634920634920635,19.63072463768116,0.9259259259259259,63
6,2016-10-05,10212.22,27,20,3.127659574468085,23.26232142857143,1.0,47
7,2016-10-06,9398.61,35,16,3.450980392156863,20.184827586206897,1.0,51
8,2016-10-07,8255.19,31,15,3.4565217391304346,17.46,1.0,46
9,2016-10-08,9716.130000000001,35,8,3.9302325581395348,20.922666666666665,1.0,42
10,2016-10-09,4152.11,19,7,3.6153846153846154,20.058529411764706,1.0,26
11,2016-10-10,4675.1,32,9,3.7560975609756095,20.020500000000002,1.0,39
12,2016-10-22,61.99,0,1,1.0,,,1
13,2016-12-23,19.62,1,0,5.0,8.72,1.0,1
14,2017-01-05,707.27,32,0,4.90625,9.6990625,1.0,32
15,2017-01-06,988.28,4,0,4.75,17.975,1.0,4
16,2017-01-07,1447.99,2,2,3.0,19.218,0.5,4
17,2017-01-08,809.63,4,2,3.3333333333333335,16.675,1.0,6
18,2017-01-09,774.51,3,2,3.4,16.786666666666665,0.6,5
19,2017-01-10,1571.17,4,2,3.5,22.71666666666667,1.0,6
20,2017-01-11,3062.33,9,3,3.8333333333333335,23.8475,1.0,12
21,2017-01-12,2502.69,10,3,3.8461538461538463,17.874000000000002,0.6666666666666666,13
22,2017-01-13,2903.9700000000003,10,2,4.083333333333333,25.012727272727272,1.0,12
23,2017-01-14,1507.36,14,4,3.4444444444444446,21.493333333333332,0.875,18
24,2017-01-15,2551.34,14,1,4.533333333333333,16.75095238095238,1.0,14
25,2017-01-16,3712.2400000000002,15,4,3.8947368421052633,16.686666666666667,1.0,19
26,2017-01-17,3893.61,31,2,4.2727272727272725,15.975135135135137,1.0,32
27,2017-01-18,4683.38,27,6,3.787878787878788,18.600571428571428,0.9333333333333333,33
28,2017-01-19,4140.16,25,4,4.068965517241379,16.748857142857144,0.9310344827586207,29
29,2017-01-20,4698.07,27,2,4.482758620689655,15.903076923076924,1.0,29
30,2017-01-21,3094.76,20,5,3.76,17.671388888888888,1.0,24
31,2017-01-22,4280.22,27,4,3.903225806451613,15.836363636363638,1.0,31
32,2017-01-23,7553.89,28,11,3.6923076923076925,18.007777777777775,0.8888888888888888,39
33,2017-01-24,6794.5,34,6,4.275,18.826363636363638,1.0,40
34,2017-01-25,10434.31,50,13,3.7936507936507935,19.753333333333334,0.9649122807017544,63
35,2017-01-26,15191.96,77,12,4.269662921348314,19.5397,0.9024390243902439,86
36,2017-01-27,12904.130000000001,51,11,4.080645161290323,17.410526315789475,1.0,62
37,2017-01-28,5909.9800000000005,26,3,4.068965517241379,22.4,1.0,29
38,2017-01-29,7160.66,30,5,4.314285714285714,14.957446808510639,0.875,35
39,2017-01-30,12187.9,47,6,3.981132075471698,14.626666666666667,1.0,53
40,2017-01-31,13021.73,58,13,3.9577464788732395,18.487176470588235,0.8125,70
41,2017-02-01,10310.99,54,19,3.7945205479452055,19.296285714285716,0.9672131147540983,73
42,2017-02-02,10676.539999999999,63,6,4.333333333333333,20.768800000000002,0.9402985074626866,69
43,2017-02-03,11639.19,49,11,3.9833333333333334,20.036290322580644,0.9259259259259259,60
44,2017-02-04,15747.17,57,10,4.074626865671642,24.29236111111111,0.9375,67
45,2017-02-05,10153.24,67,8,4.173333333333333,19.87289156626506,0.972972972972973,75
46,2017-02-06,11626.0,74,11,4.08235294117647,17.56090909090909,0.9487179487179487,85
47,2017-02-07,16627.21,103,11,4.245614035087719,18.745905511811024,0.9814814814814815,112
48,2017-02-08,14299.97,80,15,4.105263157894737,20.895656565656566,0.9759036144578314,95
49,2017-02-09,10844.17,67,11,3.948717948717949,20.16926829268293,0.8904109589041096,77
50,2017-02-10,15674.09,58,8,4.181818181818182,19.531891891891892,0.9365079365079365,66
51,2017-02-11,5648.37,41,8,4.061224489795919,18.148823529411764,0.9111111111111111,49
52,2017-02-12,16682.29,58,6,4.140625,23.033030303030305,0.9672131147540983,64
53,2017-02-13,13092.09,58,20,3.730769230769231,23.87181818181818,0.972972972972973,78
54,2017-02-14,15309.08,60,17,3.8701298701298703,20.611125,0.9393939393939394,76
55,2017-02-15,8326.4,52,10,4.016129032258065,20.02174603174603,1.0,62
56,2017-02-16,7803.72,46,9,4.109090909090909,19.425263157894737,0.9591836734693877,55
57,2017-02-17,8093.57,38,8,4.021739130434782,22.463392857142857,0.9111111111111111,46
58,2017-02-18,9308.3,50,6,4.107142857142857,18.314444444444444,1.0,54
59,2017-02-19,4477.65,27,13,3.4,15.448863636363637,1.0,40
60,2017-02-20,9157.3,53,10,3.9365079365079363,17.76388888888889,0.8305084745762712,63
61,2017-02-21,9333.46,32,9,3.951219512195122,22.29404255319149,0.9487179487179487,41
62,2017-02-22,9393.37,49,16,3.753846153846154,19.10529411764706,0.9245283018867925,63
63,2017-02-23,8571.86,53,6,4.101694915254237,22.312328767123287,0.9298245614035088,59
64,2017-02-24,7983.01,59,5,4.1875,16.664931506849314,0.9,64
65,2017-02-25,5126.18,32,11,3.6511627906976742,17.73304347826087,1.0,43
66,2017-02-26,6583.5,35,11,3.739130434782609,20.188076923076924,0.9047619047619048,46
